Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Anderson, J.",1,male,40,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Archer, Ernest",1,male,36,Southampton,Able bodied seaman,,,,16,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bradley, F.",0,male,29,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Brice, W.",1,male,42,Southampton,Able bodied seaman,,,,11,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Buley, Edward J.",1,male,27,Southampton,Able bodied seaman,,,,10,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Church, G.",0,male,,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Clench, Fredrick",1,male,34,Southampton,Able bodied seaman,,,,12,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Clench, G.",0,male,34,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Couch, F.",0,male,28,"Port Isaac, Cornwall",Able bodied seaman,,,,,yes,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Davis, Stephen J.",0,male,39,Portsmouth,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Evans, Frank O.",1,male,24,Southampton,Able bodied seaman,,,,10,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Forward, J.",1,male,27,Southampton,Able bodied seaman,,,,3,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hagan, John",1,male,30,,Able bodied seaman,,,,Collapsible B,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Holman, H.",0,male,27,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
