,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
0,,"Anderson, J.",1.0,male,40.0,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
1,,"Archer, Ernest",1.0,male,36.0,Southampton,Able bodied seaman,,,,16,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
2,,"Bradley, F.",0.0,male,29.0,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
3,,"Brice, W.",1.0,male,42.0,Southampton,Able bodied seaman,,,,11,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
4,,"Buley, Edward J.",1.0,male,27.0,Southampton,Able bodied seaman,,,,10,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
5,,"Church, G.",0.0,male,,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
6,,"Clench, Fredrick",1.0,male,34.0,Southampton,Able bodied seaman,,,,12,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
7,,"Clench, G.",0.0,male,34.0,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
8,,"Couch, F.",0.0,male,28.0,"Port Isaac, Cornwall",Able bodied seaman,,,,,yes,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.59382000000001,-4.829978
9,,"Davis, Stephen J.",0.0,male,39.0,Portsmouth,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.8197675,-1.0879769
10,,"Evans, Frank O.",1.0,male,24.0,Southampton,Able bodied seaman,,,,10,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
11,,"Forward, J.",1.0,male,27.0,Southampton,Able bodied seaman,,,,3,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
12,,"Hagan, John",1.0,male,30.0,,Able bodied seaman,,,,Collapsible B,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
13,,"Holman, H.",0.0,male,27.0,Southampton,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
14,,"Hopkins, Robert",1.0,male,40.0,Belfast,Able bodied seaman,,,,13,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
15,,"Horswell, Albert Edward James ",1.0,male,33.0,Southampton,Able bodied seaman,,,,1,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
16,,"Jones, Thomas",1.0,male,32.0,Liverpool,Able bodied seaman,,,,8,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
17,,"Lucas, William",1.0,male,25.0,Southampton,Able bodied seaman,,,,12,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
18,,"Lyons, William H.",0.0,male,26.0,Southampton,Able bodied seaman,,,,4,"yes, died on Carpathia, buried at sea",Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
19,,"Matherson, D. ",0.0,male,30.0,Southampton,Able bodied seaman,,,,,yes,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
20,,"McAuliffe, ",0.0,male,,,Able bodied seaman,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
21,,"McCarthy, W.",1.0,male,47.0,"Cork, Ireland",Able bodied seaman,,,,4,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.8985143,-8.4756035
22,,"McGough, James (Paddy)",1.0,male,25.0,Southampton,Able bodied seaman,,,,9,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
23,,"Osman, Frank",1.0,male,28.0,Southampton,Able bodied seaman,,,,2,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
