,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Boarded,predicted_survival
0,0.0,3,male,22.0,1,0,7.25,Southampton,0
1,1.0,1,female,38.0,1,0,71.2833,Cherbourg,1
2,1.0,3,female,26.0,0,0,7.925,Southampton,1
3,1.0,1,female,35.0,1,0,53.1,Southampton,1
4,0.0,3,male,35.0,0,0,8.05,Southampton,0
6,0.0,1,male,54.0,0,0,51.8625,Southampton,0
7,0.0,3,male,2.0,3,1,21.075,Southampton,0
8,1.0,3,female,27.0,0,2,11.1333,Southampton,1
9,1.0,2,female,14.0,1,0,30.0708,Cherbourg,1
10,1.0,3,female,4.0,1,1,16.7,Southampton,1
11,1.0,1,female,58.0,0,0,26.55,Southampton,1
12,0.0,3,male,20.0,0,0,8.05,Southampton,0
13,0.0,3,male,39.0,1,5,31.275,Southampton,0
14,0.0,3,female,14.0,0,0,7.8542,Southampton,1
15,1.0,2,female,55.0,0,0,16.0,Southampton,1
16,0.0,3,male,2.0,4,1,29.125,Queenstown,0
18,0.0,3,female,31.0,1,0,18.0,Southampton,0
20,0.0,2,male,35.0,0,0,26.0,Southampton,0
21,1.0,2,male,34.0,0,0,13.0,Southampton,0
22,1.0,3,female,15.0,0,0,8.0292,Queenstown,1
23,1.0,1,male,28.0,0,0,35.5,Southampton,1
24,0.0,3,female,8.0,3,1,21.075,Southampton,1
25,1.0,3,female,38.0,1,5,31.3875,Southampton,0
27,0.0,1,male,19.0,3,2,263.0,Southampton,0
30,0.0,1,male,40.0,0,0,27.7208,Cherbourg,1
33,0.0,2,male,66.0,0,0,10.5,Southampton,0
34,0.0,1,male,28.0,1,0,82.1708,Cherbourg,1
35,0.0,1,male,42.0,1,0,52.0,Southampton,0
37,0.0,3,male,21.0,0,0,8.05,Southampton,0
38,0.0,3,female,18.0,2,0,18.0,Southampton,1
39,1.0,3,female,14.0,1,0,11.2417,Cherbourg,1
40,0.0,3,female,40.0,1,0,9.475,Southampton,0
41,0.0,2,female,27.0,1,0,21.0,Southampton,1
43,1.0,2,female,3.0,1,2,41.5792,Cherbourg,1
44,1.0,3,female,19.0,0,0,7.8792,Queenstown,1
49,0.0,3,female,18.0,1,0,17.8,Southampton,1
50,0.0,3,male,7.0,4,1,39.6875,Southampton,0
51,0.0,3,male,21.0,0,0,7.8,Southampton,0
52,1.0,1,female,49.0,1,0,76.7292,Cherbourg,1
53,1.0,2,female,29.0,1,0,26.0,Southampton,1
54,0.0,1,male,65.0,0,1,61.9792,Southampton,0
56,1.0,2,female,21.0,0,0,10.5,Southampton,1
57,0.0,3,male,28.5,0,0,7.2292,Cherbourg,0
58,1.0,2,female,5.0,1,2,27.75,Southampton,1
59,0.0,3,male,11.0,5,2,46.9,Southampton,0
60,0.0,3,male,22.0,0,0,7.2292,Cherbourg,0
61,1.0,1,female,38.0,0,0,80.0,Southampton,1
62,0.0,1,male,45.0,1,0,83.475,Southampton,0
63,0.0,3,male,4.0,3,2,27.9,Southampton,0
66,1.0,2,female,29.0,0,0,10.5,Southampton,1
67,0.0,3,male,19.0,0,0,8.1583,Southampton,0
68,1.0,3,female,17.0,4,2,7.925,Southampton,0
69,0.0,3,male,26.0,2,0,8.6625,Southampton,0
70,0.0,2,male,32.0,0,0,10.5,Southampton,0
71,0.0,3,female,16.0,5,2,46.9,Southampton,0
72,0.0,2,male,21.0,0,0,73.5,Southampton,0
73,0.0,3,male,26.0,1,0,14.4542,Cherbourg,0
74,1.0,3,male,32.0,0,0,56.4958,Southampton,0
75,0.0,3,male,25.0,0,0,7.65,Southampton,0
78,1.0,2,male,0.83,0,2,29.0,Southampton,1
79,1.0,3,female,30.0,0,0,12.475,Southampton,1
80,0.0,3,male,22.0,0,0,9.0,Southampton,0
